epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2643.56,0.70723,0.51023,0.9414,0.92094,0.92002,0.96272,0.65716,1.22299,0.56454,1.01897,0.00208,0.00208,0.00208
82,2675.97,0.70084,0.49954,0.94101,0.92882,0.9167,0.96657,0.65208,1.25085,0.55127,1.03141,0.001981,0.001981,0.001981
83,2708.76,0.70282,0.50402,0.94063,0.92524,0.91604,0.96854,0.66199,1.22342,0.54625,1.01786,0.001882,0.001882,0.001882
84,2741.75,0.69483,0.49677,0.93857,0.93169,0.92178,0.96543,0.66154,1.21369,0.55876,1.01841,0.001783,0.001783,0.001783
85,2775.16,0.69592,0.49852,0.93741,0.91758,0.92347,0.96288,0.65139,1.24532,0.56327,1.03281,0.001684,0.001684,0.001684
86,2808.26,0.68932,0.49648,0.93036,0.91713,0.90704,0.94827,0.63531,1.2792,0.58601,1.0469,0.001585,0.001585,0.001585
87,2840.61,0.6774,0.48757,0.93316,0.90547,0.92144,0.95267,0.63755,1.26869,0.57116,1.04392,0.001486,0.001486,0.001486
88,2874.09,0.67476,0.48911,0.92948,0.89623,0.92305,0.9617,0.64137,1.25635,0.56517,1.04346,0.001387,0.001387,0.001387
89,2907.51,0.67485,0.49439,0.92856,0.90959,0.93046,0.95955,0.64958,1.26706,0.56422,1.04986,0.001288,0.001288,0.001288
90,2940.46,0.67283,0.48202,0.9285,0.92961,0.92005,0.95974,0.6416,1.28181,0.56493,1.0552,0.001189,0.001189,0.001189
91,2994.49,0.62452,0.37822,0.9328,0.93199,0.90997,0.96216,0.64479,1.26631,0.57387,1.04444,0.00109,0.00109,0.00109
92,3024.92,0.61257,0.37663,0.92934,0.92794,0.91354,0.9618,0.65259,1.25453,0.56857,1.03862,0.000991,0.000991,0.000991
93,3055.72,0.59801,0.36508,0.91908,0.92715,0.91162,0.96182,0.6479,1.26164,0.57462,1.04172,0.000892,0.000892,0.000892
94,3086.3,0.5908,0.36046,0.91633,0.92028,0.914,0.96134,0.64636,1.26592,0.58156,1.0429,0.000793,0.000793,0.000793
95,3117.1,0.5905,0.36194,0.916,0.92088,0.91308,0.96182,0.6478,1.2689,0.59008,1.04404,0.000694,0.000694,0.000694
96,3147.84,0.58262,0.35434,0.91049,0.92553,0.9085,0.96191,0.64904,1.25711,0.59164,1.04157,0.000595,0.000595,0.000595
97,3178.32,0.57741,0.35056,0.91035,0.92393,0.90633,0.96203,0.64915,1.25916,0.60492,1.04403,0.000496,0.000496,0.000496
98,3209.03,0.57886,0.35421,0.90935,0.92116,0.91043,0.96309,0.65602,1.25699,0.60347,1.04313,0.000397,0.000397,0.000397
99,3239.59,0.57101,0.34777,0.90764,0.92163,0.91202,0.96182,0.65533,1.2586,0.61208,1.04276,0.000298,0.000298,0.000298
100,3270.67,0.56824,0.34812,0.90221,0.92212,0.91261,0.96182,0.65637,1.25657,0.60959,1.0428,0.000199,0.000199,0.000199
